;age;marital;housing;loan;contact;month;day_of_week;duration;campaign;previous;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y;job_admin.;job_blue-collar;job_management;job_other;job_services;job_technician;education_basic.9y;education_high.school;education_other;education_professional.course;education_university.degree
18;50;0;1;1;1;5;1;353.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
19;39;1;0;0;1;5;1;195.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;1;0;0;0;0
20;30;0;0;0;1;5;1;38.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;1;0;0;0
21;55;0;1;0;1;5;1;262.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
22;55;1;1;0;1;5;1;342.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;1;0;0;0
23;41;1;1;0;1;5;1;181.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;1;0;0;0
24;37;0;1;0;1;5;1;172.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;1;0;0;0
25;35;0;0;1;1;5;1;99.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;0;1
26;59;0;1;0;1;5;1;93.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;1;0;0
27;39;0;0;0;1;5;1;233.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;1;0;0;0;0
28;54;1;0;0;1;5;1;255.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;0;1
29;55;0;1;0;1;5;1;362.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;0;0;1
30;46;0;0;0;1;5;1;348.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;1;0;0
31;59;0;1;0;1;5;1;386.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;1;0;0
32;49;0;0;0;1;5;1;73.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
33;54;0;1;0;1;5;1;230.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;1;0;0
34;54;2;0;0;1;5;1;208.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
35;55;0;1;0;1;5;1;336.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;1;0;0
36;34;0;0;0;1;5;1;365.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
37;52;0;1;0;1;5;1;365.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;1;0;0;0;0
38;41;0;1;0;1;5;1;577.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
39;56;0;1;0;1;5;1;137.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;1;0;0
40;32;0;1;0;1;5;1;314.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;1;0;0;0
41;38;1;0;0;1;5;1;160.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;1;0
42;57;0;0;1;1;5;1;212.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
43;44;0;1;0;1;5;1;188.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
44;42;1;0;0;1;5;1;22.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;1;0
45;57;0;1;1;1;5;1;616.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
46;40;0;0;1;1;5;1;178.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
47;35;0;1;0;1;5;1;355.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
48;45;0;1;0;1;5;1;225.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
49;54;0;0;0;1;5;1;160.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;1;0;0;0
50;39;0;0;1;1;5;1;266.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;1;0;0
51;60;0;0;0;1;5;1;253.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;1;0;0;0
52;53;1;0;0;1;5;1;179.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;1;0
53;55;0;0;0;1;5;1;269.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
54;55;0;1;0;1;5;1;135.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;1;0
55;50;0;0;1;1;5;1;161.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;0;0;1
56;45;0;1;0;1;5;1;161.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
57;55;0;1;1;1;5;1;145.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;0;1;0
58;25;1;1;0;1;5;1;174.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;0;1
59;47;0;0;0;1;5;1;449.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;0;0;1
60;51;0;1;0;1;5;1;449.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
61;42;0;1;0;1;5;1;164.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
62;42;0;0;0;1;5;1;366.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
63;48;0;0;0;1;5;1;357.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;1;0;0;0
64;37;0;0;0;1;5;1;232.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
65;44;1;1;0;1;5;1;91.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
66;33;0;1;0;1;5;1;273.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;1;0;0
67;56;0;1;0;1;5;1;158.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;1;0;0;0;0
68;44;1;1;1;1;5;1;177.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
69;41;0;0;0;1;5;1;200.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;1;0;0
70;44;2;1;0;1;5;1;172.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;0;0;1
71;47;0;1;0;1;5;1;176.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
72;57;0;0;0;1;5;1;211.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;1;0;0
73;37;0;1;0;1;5;1;214.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
74;41;2;1;0;1;5;1;214.0;1;0;1.1;93.994;-36.4;4.857;5191.0;1;0;1;0;0;0;0;0;0;1;0;0
75;55;0;0;0;1;5;1;349.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;0;1
76;33;0;1;0;1;5;1;337.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
77;55;0;1;0;1;5;1;272.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;1;0;0
78;42;0;0;0;1;5;1;208.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
79;50;0;1;0;1;5;1;193.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
80;51;0;1;0;1;5;1;212.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
81;38;0;0;0;1;5;1;165.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;1;0;0;0
82;49;0;1;0;1;5;1;165.0;1;0;1.1;93.994;-36.4;4.857;5191.0;1;0;0;0;1;0;0;0;0;0;0;1
83;38;1;0;1;1;5;1;20.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;0;1
84;31;2;0;0;1;5;1;246.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;1;0;0;0
85;41;0;0;0;1;5;1;529.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;1;0;0
86;39;0;1;1;1;5;1;192.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
87;49;0;0;0;1;5;1;192.0;1;0;1.1;93.994;-36.4;4.857;5191.0;1;0;0;0;0;0;1;1;0;0;0;0
88;34;0;1;0;1;5;1;188.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;1;0;0;0
89;35;0;1;0;1;5;1;180.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
90;57;0;1;0;1;5;1;48.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;1;0;0
91;60;0;0;1;1;5;1;213.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;1;0;0
92;33;0;0;0;1;5;1;545.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;1;0;0;0;0
93;42;0;0;1;1;5;1;583.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
94;45;0;1;0;1;5;1;221.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;0;0;1;0
95;42;0;0;0;1;5;1;426.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;0;0;1
96;53;2;0;0;1;5;1;287.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
97;37;1;0;0;1;5;1;197.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;1;0
98;44;0;0;0;1;5;1;257.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
99;54;0;1;0;1;5;1;229.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;0;1;0;0
100;49;0;0;0;1;5;1;55.0;3;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
101;54;0;0;0;1;5;1;400.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;0;1;0;0
102;52;2;0;0;1;5;1;197.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
103;52;2;0;0;1;5;1;190.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
104;43;1;0;0;1;5;1;21.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
105;34;0;1;0;1;5;1;300.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;1;0;0
106;35;0;1;0;1;5;1;123.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;1;0;0;0
107;42;0;1;0;1;5;1;293.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;1;0;0
108;43;0;1;1;1;5;1;325.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;1;0;0
109;60;2;0;0;1;5;1;514.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;0;0;1
110;58;0;0;0;1;5;1;514.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;1;0;0
111;35;2;1;0;1;5;1;194.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
112;55;0;1;0;1;5;1;212.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
113;37;0;0;0;1;5;1;337.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;0;0;1
114;36;0;0;0;1;5;1;286.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;1;0;0;0
115;52;2;0;0;1;5;1;247.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
116;57;2;1;0;1;5;1;518.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
117;56;0;1;0;1;5;1;364.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;1;0;0
118;48;2;1;0;1;5;1;178.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
119;40;0;1;0;1;5;1;98.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;1;0;0;0
120;49;2;0;0;1;5;1;439.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;1;0;0;0
121;41;0;0;0;1;5;1;139.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
122;45;0;1;0;1;5;1;79.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;1;0;0;0
123;32;0;1;1;1;5;1;175.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
124;42;0;0;1;1;5;1;262.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
125;50;0;0;0;1;5;1;61.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;1;0;0
126;31;2;1;1;1;5;1;78.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;1;0
127;56;0;1;0;1;5;1;102.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;1;0;0
128;41;0;1;0;1;5;1;579.0;1;0;1.1;93.994;-36.4;4.857;5191.0;1;0;0;0;0;0;1;0;0;0;1;0
129;37;0;1;1;1;5;1;143.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
130;41;0;0;0;1;5;1;143.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;1;0
131;35;0;1;0;1;5;1;267.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
132;37;0;1;0;1;5;1;345.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
133;52;0;0;0;1;5;1;185.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;0;0;1
134;39;2;0;0;1;5;1;207.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;0;0;1
135;39;0;0;0;1;5;1;69.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;1;0;0
136;56;0;0;0;1;5;1;100.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
137;34;0;1;0;1;5;1;125.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
138;45;0;1;0;1;5;1;461.0;1;0;1.1;93.994;-36.4;4.857;5191.0;1;0;1;0;0;0;0;1;0;0;0;0
139;43;1;1;0;1;5;1;240.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;0;0;1
140;56;0;1;0;1;5;1;70.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;1;0;0
141;39;0;1;0;1;5;1;193.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;0;0;1
142;53;0;1;0;1;5;1;136.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
143;38;2;1;0;1;5;1;73.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;1;0;0;0
144;42;0;1;0;1;5;1;528.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
145;42;0;0;0;1;5;1;541.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
146;35;1;1;0;1;5;1;338.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;1;0;0;0
147;40;0;1;0;1;5;1;163.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
148;51;0;1;0;1;5;1;87.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
149;60;0;0;0;1;5;1;301.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
150;56;0;1;0;1;5;1;46.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;1;0;0
151;39;2;1;0;1;5;1;52.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
152;56;0;0;0;1;5;1;204.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;1;0;0
153;40;0;1;1;1;5;1;155.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
154;36;0;1;1;1;5;1;98.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
155;51;0;1;0;1;5;1;71.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
156;51;0;0;0;1;5;1;243.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
157;43;1;1;0;1;5;1;186.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;1;0
158;59;0;0;0;1;5;1;579.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
159;24;1;1;0;1;5;1;165.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;0;0;1
160;37;1;1;1;1;5;1;163.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
161;40;0;0;0;1;5;1;46.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
162;42;0;0;0;1;5;1;559.0;3;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
163;39;2;0;0;1;5;1;559.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
164;37;0;0;0;1;5;1;85.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;0;1;0;0
165;38;0;1;1;1;5;1;506.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
166;56;2;0;0;1;5;1;114.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;1;0;0
167;40;0;0;0;1;5;1;114.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
168;54;2;1;0;1;5;1;114.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;0;0;1
169;43;0;0;1;1;5;1;181.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;1;0;0;0
170;36;0;0;0;1;5;1;427.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
171;45;0;1;1;1;5;1;292.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;0;1
172;42;1;0;0;1;5;1;192.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
173;43;0;0;0;1;5;1;93.0;3;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
174;46;0;0;0;1;5;1;128.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;1;0;0;0;0
175;44;0;1;1;1;5;1;107.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
176;51;1;0;0;1;5;1;303.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;1;0;0
177;28;0;1;0;1;5;1;81.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;1;0;0;1;0;0;0
178;37;0;0;0;1;5;1;270.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
179;34;0;0;0;1;5;1;228.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;1;0;0;0
180;46;0;1;0;1;5;1;240.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
181;42;0;1;1;1;5;1;240.0;2;0;1.1;93.994;-36.4;4.857;5191.0;1;0;1;0;0;0;0;1;0;0;0;0
182;36;0;1;0;1;5;1;233.0;3;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
183;54;0;0;0;1;5;1;102.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
184;57;0;0;0;1;5;1;461.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;0;0;1
185;51;0;0;0;1;5;1;250.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;1;0;0
186;54;0;0;0;1;5;1;130.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;1;0;0;0;1;0;0;0
187;49;0;0;0;1;5;1;252.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
188;34;0;1;0;1;5;1;138.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;0;1
189;41;0;0;0;1;5;1;412.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;1;0
190;38;1;1;0;1;5;1;179.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
191;45;2;0;0;1;5;1;19.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;1;0;0;0;0;0;0;0;1
192;42;0;0;0;1;5;1;228.0;2;0;1.1;93.994;-36.4;4.857;5191.0;0;0;0;0;0;0;1;0;0;0;0;1
193;34;1;1;0;1;5;1;55.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;1;0;0;0;0
194;48;0;1;0;1;5;1;55.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;0;1;0;0;0;0;0;0;1;0;0
195;37;0;1;0;1;5;1;313.0;1;0;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;1;0;0;0
